Narration,TransactionType
ADVANCE OPENING Contract nr.: 402 - 0829451 | Interest rate: 2.110000% | Maturity: 22.12.2017,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18762448 | UNITS BLACKROCK GLOBAL FUNDS SICAV | Quantity: 100,000.00",Distribution
ADVANCE OPENING Contract nr.: 402 - 0829447 | Interest rate: 2.110000% | Maturity: 22.12.2017,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0829441 | Interest rate: 2.120000% | Maturity: 22.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0820462,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0815467 | Interest rate: 2.040000% | Capital: 868,650.68 | Period: 10.11.2017 - 11.12.2017 | Days: 31.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0815466 | Interest rate: 2.040000% | Capital: 10,000,000.00 | Period: 10.11.2017 - 11.12.2017 | Days: 31.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0820462 | Interest rate: 2.030000% | Capital: 1,050,990.73 | Period: 27.11.2017 - 11.12.2017 | Days: 14.00 / 360.00",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18564323 | UNITS NOMURA FUNDS IRELAND PLC | Quantity: 25,800.00",Distribution
ADVANCE REFUND Contract nr.: 402 - 0815466,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0815467,LoanRepay
"COUPON PAYMENT STRUCTURED PRODUCTS Security nr. 9860440 | 5.48% JB USD DCI VS JPY-112.2 | Interest rate: 5.480000% | Nominal amount: 2,673,295.99 | Maturity: 08.12.2017",Distribution
FOREX SPOT USD/JPY 112.0784,SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security nr. 9861538 | 12.65% JB USD DCI VS JPY-112.5 | Interest rate: 12.650000% | Nominal amount: 2,675,722.96 | Maturity: 22.12.2017",Purchase
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18553502 | UNITS NEUBERGER BERMAN INVESTMENT F | Quantity: 96,000.00",Distribution
CAP/5.48% JB USD DCI VS JPY-112.2,Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9860440 | 5.48% JB USD DCI VS JPY-112.2 | Interest rate: 5.480000% | Nominal amount: 2,673,295.99 | Maturity: 08.12.2017",Sale
ADVANCE OPENING Contract nr.: 402 - 0827906 | Interest rate: 2.180000% | Maturity: 10.01.2018,LoanCreate
CAP/5.2% JB JPY DCI VS USD-112.8,Distribution
"PURCHASE STRUCTURED PRODUCTS Security nr. 9861292 | 11.92% JB USD DCI VS JPY-112.8 | Interest rate: 11.920000% | Nominal amount: 3,556,855.79 | Maturity: 27.12.2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857773 | 5.2% JB JPY DCI VS USD-112.8 | Interest rate: 5.200000% | Nominal amount: 400,000,000.00 | Maturity: 07.12.2017",SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0827904 | Interest rate: 2.180000% | Maturity: 10.01.2018,LoanCreate
FOREX SPOT USD/JPY 112.5359,SpotFxOut
FOREX SPOT USD/JPY 112.5360,SpotFxOut
CAP/6.7% JB JPY DCI VS USD-112.7,Distribution
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860897 | 9.55% JB USD DCI VS JPY-112.95 | Interest rate: 9.550000% | Nominal amount: 6,222,980.96 | Maturity: 27.12.2017",Purchase
CAP/7.88% JB JPY DCI VS USD-112.95,Distribution
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860898 | 9.61% JB USD DCI VS JPY-112.95 | Interest rate: 9.610000% | Nominal amount: 4,451,797.44 | Maturity: 27.12.2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857241 | 6.7% JB JPY DCI VS USD-112.7 | Interest rate: 6.700000% | Nominal amount: 500,000,000.00 | Maturity: 05.12.2017",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857243 | 7.88% JB JPY DCI VS USD-112.95 | Interest rate: 7.880000% | Nominal amount: 700,000,000.00 | Maturity: 05.12.2017",SpotFxIn
"COUPON PAYMENT BONDS Security nr. 36312585 | 6 3/4 % NOTES SANTANDER UK G HLDG | Interest rate: 6.750000% | Nominal amount: 2,000,000.00 | Maturity: 31.12.2050",Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0830890 | Interest rate: 1.190000% | Capital: 503,376.60 | Period: 15.12.2017 - 22.12.2017 | Days: 7.00 / 365.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0830890,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0833241 | Interest rate: 1.190000% | Maturity: 19.01.2018,LoanCreate
"COUPON PAYMENT BONDS Security nr. 37807987 | 5 7/8 % BONDS BARCLAYS PLC | Interest rate: 5.875000% | Nominal amount: 500,000.00 | Maturity: 31.12.2050",Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0816785 | Interest rate: 1.200000% | Capital: 2,034,238.76 | Period: 15.11.2017 - 15.12.2017 | Days: 30.00 / 365.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0816787 | Interest rate: 1.200000% | Capital: 502,880.61 | Period: 15.11.2017 - 15.12.2017 | Days: 30.00 / 365.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0816785,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0816787,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0830886 | Interest rate: 1.190000% | Maturity: 12.01.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0830890 | Interest rate: 1.190000% | Maturity: 22.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0814294,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0814294 | Interest rate: 1.200000% | Capital: 338,734.32 | Period: 13.11.2017 - 13.12.2017 | Days: 30.00 / 365.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0829442 | Interest rate: 1.200000% | Maturity: 12.01.2018,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0813712 | Interest rate: 1.140000% | Capital: 724,667.92 | Period: 10.11.2017 - 11.12.2017 | Days: 31.00 / 365.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0813712,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0827905 | Interest rate: 1.200000% | Maturity: 10.01.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0819738,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0819740 | Interest rate: 0.610000% | Capital: 502,712.54 | Period: 24.11.2017 - 22.12.2017 | Days: 28.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0819740,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0819738 | Interest rate: 0.610000% | Capital: 2,325,412.34 | Period: 24.11.2017 - 22.12.2017 | Days: 28.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0819741 | Interest rate: 0.610000% | Capital: 1,526,561.24 | Period: 24.11.2017 - 22.12.2017 | Days: 28.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0819741,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0833254 | Interest rate: 0.610000% | Maturity: 19.01.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0833250 | Interest rate: 0.610000% | Maturity: 19.01.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0833275 | Interest rate: 0.610000% | Maturity: 19.01.2018,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 4273607 | UNIT FRANKLIN TEMPLETON INV FD SICA | Quantity: 230,000.00",Distribution
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 26013077 | UNITS BLACKROCK GLOBAL FUNDS SICAV | Quantity: 165,000.00",Distribution
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18329908 | UNITS POLAR CAPITAL FUNDS PLC | Quantity: 240,000.00",Distribution
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860671 | 5.1% JB USD DCI VS JPY-113.4 | Interest rate: 5.100000% | Nominal amount: 2,004,102.67 | Maturity: 26.12.2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860670 | 6.47% JB USD DCI VS JPY-113.1 | Interest rate: 6.470000% | Nominal amount: 4,440,077.52 | Maturity: 26.12.2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860669 | 7.53% JB USD DCI VS JPY-112.9 | Interest rate: 7.530000% | Nominal amount: 4,447,152.21 | Maturity: 26.12.2017",Purchase
"SUBSCRIPTION INVESTMENT FUND Security nr. 18564323 | UNITS NOMURA FUNDS IRELAND PLC | Quantity: 18,000.00",Purchase
CAP/7.54% JB JPY DCI VS USD-112.5,SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858039 | 7.54% JB JPY DCI VS USD-112.5 | Interest rate: 7.540000% | Nominal amount: 400,000,000.00 | Maturity: 01.12.2017",SpotFxIn
CAP/7.21% JB JPY DCI VS USD-112.5,SpotFxIn
FOREX SPOT USD/JPY 111.4755,SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860440 | 5.48% JB USD DCI VS JPY-112.2 | Interest rate: 5.480000% | Nominal amount: 2,673,295.99 | Maturity: 08.12.2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860450 | 4.2% JB USD DCI VS JPY-112.95 | Interest rate: 4.200000% | Nominal amount: 2,645,237.14 | Maturity: 22.12.2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860441 | 6.57% JB USD DCI VS JPY-112.3 | Interest rate: 6.570000% | Nominal amount: 3,565,981.24 | Maturity: 22.12.2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858055 | 7.21% JB JPY DCI VS USD-112.5 | Interest rate: 7.210000% | Nominal amount: 300,000,000.00 | Maturity: 01.12.2017",SpotFxIn
CAP/5.6% JB JPY DCI VS USD-113.3,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9860174 | 3.02% JB USD DCI VS JPY-112.95 | Interest rate: 3.020000% | Nominal amount: 4,427,478.67 | Maturity: 21.12.2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856523 | 5.6% JB JPY DCI VS USD-113.3 | Interest rate: 5.600000% | Nominal amount: 500,000,000.00 | Maturity: 30.11.2017",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856352 | 5.19% JB JPY DCI VS USD-113.7 | Interest rate: 5.190000% | Nominal amount: 300,000,000.00 | Maturity: 29.11.2017",SpotFxIn
FOREX SPOT USD/JPY 111.3144,SpotFxOut
"ADVANCE INTEREST Contract nr.: 402 - 0808515 | Interest rate: 2.040000% | Capital: 1,749,770.17 | Period: 30.10.2017 - 29.11.2017 | Days: 30.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0808515,LoanRepay
CAP/5.19% JB JPY DCI VS USD-113.7,SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857242 | 8.57% JB JPY DCI VS USD-112.95 | Interest rate: 8.570000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",SpotFxIn
FOREX SPOT USD/JPY 111.4413,SpotFxOut
CAP/6.96% JB JPY DCI VS USD-112.7,SpotFxIn
FOREX SPOT USD/JPY 111.4413,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857240 | 6.96% JB JPY DCI VS USD-112.7 | Interest rate: 6.960000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",SpotFxIn
CAP/8.57% JB JPY DCI VS USD-112.95,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0822557 | Interest rate: 2.080000% | Maturity: 20.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0793143,LoanRepay
CAP/6.15% JB JPY DCI VS USD-113,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0793143 | Interest rate: 2.070000% | Capital: 1,047,257.26 | Period: 26.09.2017 - 27.11.2017 | Days: 62.00 / 360.00",LoanCost
FOREX SPOT USD/JPY 112.0661,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855664 | 6.15% JB JPY DCI VS USD-113 | Interest rate: 6.150000% | Nominal amount: 500,000,000.00 | Maturity: 27.11.2017",SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9859360 | 5.71% JB USD DCI VS JPY-113 | Interest rate: 5.710000% | Nominal amount: 4,438,544.52 | Maturity: 15.12.2017",Purchase
ADVANCE OPENING Contract nr.: 402 - 0820462 | Interest rate: 2.030000% | Maturity: 11.12.2017,LoanCreate
CAP/9.49% JB JPY DCI VS USD-113.3,SpotFxIn
FOREX SPOT JPY/USD113.0390,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855900 | 9.49% JB JPY DCI VS USD-113.3 | Interest rate: 9.490000% | Nominal amount: 200,000,000.00 | Maturity: 20.11.2017",SpotFxIn
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 1628315 | UNIT FRANKLIN TEMPLETON INV FD SICA | Quantity: 387,000.00",Distribution
FOREX SPOT JPY/USD113.1170,SpotFxOut
FOREX SPOT JPY/USD113.1780,SpotFxOut
FOREX SPOT JPY/USD113.2350,SpotFxOut
ADVANCE REFUND Contract nr.: 402-0804266,LoanRepay
ADVANCE OPENING Contract nr.: 402-0818539 |Interest rate:2.060000% | Maturity:15.12.2017,LoanCreate
"ADVANCE INTEREST Contract nr.: 402-0813708 | Interest rate: 2.000000% | Capital:1,734,006.40 | Period: 09.11.2017-17.11.2017 | Days: 8.00/360.00",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18553502 | UNITS NEUBERGER BERMAN INVESTMENT F | Quantity: 96,000.00",Distribution
ADVANCE REFUND Contract nr.: 402-0813708,LoanRepay
ADVANCE REFUND Contract nr.: 402-0812763,LoanRepay
"ADVANCE INTEREST Contract nr.: 402-0812763 | Interest rate: 2.010000% | Capital:1,731,951.08 | Period: 07.11.2017-17.11.2017 | Days: 10.00/360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402-0804266 | Interest rate: 2.040000% | Capital:878,536.29 | Period: 18.10.2017-17.11.2017 | Days: 30.00/360.00",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUND Security nr. 18762448 | UNITS BLACKROCK GLOBAL FUNDS SICAV | Quantity: 100,000.00",Distribution
"DIVIDEND PAYMENT INVESTMENT FUND Security nr. 19814968| UNITS AB SICAV | Quantity: 36,000.00",Distribution
"DIVIDEND PAYMENT INVESTMENT FUND Security nr. 11928659 | UNITS INVESTEC GLB STRATEGY FD SICAV | Quantity: 34,000.00",Distribution
ADVANCE OPENING Contract nr.: 402-0816343 |Interest rate:2.050000% | Maturity:14.12.2017,LoanCreate
"ADVANCE INTEREST Contract nr.: 402-0802039| Interest rate: 2.040000% | Capital:994,880.79 | Period: 16.10.2017-15.11.2017 | Days: 30.00/360.00",LoanCost
ADVANCE OPENING Contract nr.: 402-0816344 |Interest rate:2.050000% | Maturity:15.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402-0802044,LoanRepay
ADVANCE OPENING Contract nr.: 402-0816783 |Interest rate:2.040000% | Maturity:15.12.2017,LoanCreate
FOREX SPOT JPY/USD113.2010,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402-0801562 | Interest rate: 2.040000% | Capital:883,686.87| Period: 13.10.2017-13.11.2017 | Days: 31.00/360.00 or 365",LoanCost
ADVANCE REFUND Contract nr.: 402-0801562,LoanRepay
ADVANCE REFUND Contract nr.: 402-0811047,LoanRepay
"ADVANCE INTEREST Contract nr.: 402-0802044| Interest rate: 2.040000% | Capital:502,445.03 | Period: 16.10.2017-15.11.2017 | Days: 30.00/360.00",LoanCost
PAYMENT ORDER:21187006 1 /TRINITASJAPAN PTE.LTD 24 EAN KIAM PLACE 429115 SINGAPORE,MoneyIn
"ADVANCE INTEREST Contract nr.: 402-0811047 | Interest rate: 2.020000% | Capital:1,022,308.07 | Period: 31.10.2017-14.11.2017 | Days: 14.00/360.00",LoanCost
ADVANCE REFUND Contract nr.: 402-0802039,LoanRepay
PAYMENT ORDER:05460000866537020000 1 /TRINITASJAPAN PTE.LTD.1/SINGAPORE 429115 6 /SG/UBS/0546-00866537,MoneyIn
ADVANCE REFUND Contract nr.: 402-0800971,LoanRepay
ADVANCE INTEREST Contract nr.: 402-0800971 | Interest rate: 2.040000% | Capital:amount | Period: 11.10.2017-10.11.2017 | Days: 30.00/360.00,LoanCost
ADVANCE OPENING Contract nr.: 402-0815466 |Interest rate:2.040000% | Maturity:11.12.2017,LoanCreate
ADVANCE OPENING Contract nr.: 402-0815467 |Interest rate:2.040000% | Maturity:11.12.2017,LoanCreate
"ADVANCE INTEREST Contract nr.: 402-0800969 | Interest rate: 2.040000% | Capital:868,650.68 | Period: 11.10.2017-10.11.2017 | Days: 30.00/360.00",LoanCost
ADVANCE REFUND Contract nr.: 402-0800969,LoanRepay
"DIVIDEND PAYMENT INVESTMENT FUND Security nr. 18564323 | UNITS NOMURA FUNDS IRELAND PLC | Quantity: 7,8000.00",Distribution
"ADVANCE OPENING Contract nr.: 402-0812763 | Interest rate: 2.010000% | Capital:1,731,951.08 | Period: 07.11.2017-17.11.2017 | Days: 10.00/360.00",LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9852881 | 8.01% JB USD DCI VS JPY-112.7 | Interest rate:8.010000%|Nominal amount:2,000,000.00|Maturity:09.11.2017",Sale
ADVANCE OPENING Contract nr.: 402-0814990 |Interest rate:2.040000% | Maturity:13.12.2017,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9852881 | 8.01% JB USD DCI VS JPY-112.7 | Interest rate:8.010000%|Nominal amount:2,000,000.00|Maturity:09.11.2017",SpotFxOut
"ADVANCE INTEREST Contract nr.: 402-0801138 | Interest rate: 2.040000% | Capital:1,734,006.40 | Period: 10.10.2017-09.11.2017 | Days: 30.00/360.00",LoanCost
ADVANCE REFUND Contract nr.: 402-0801138,LoanRepay
"DIVIDEND PAYMENT INVESTMENT FUND Security nr. 21966706 | UNITS SCHRODER INTL SELECT FD SICAV | Quantity: 58,800",Distribution
ADVANCE OPENING Contract nr.: 402-0813708 |Interest rate:2.000000% | Maturity:17.11.2017,LoanCreate
"ADVANCE INTEREST Contract nr.: 402-0795473| Interest rate: 2.050000% | Capital:1,731,951.08 | Period: 27.09.2017-07.11.2017 | Days: 41.00/360.00",LoanCost
ADVANCE REFUND Contract nr.: 402-0795473,LoanRepay
"SUBSCRIPTION INVESTMENT FUND Security nr. 21966706 |UNIT SCHRODER INTL SELECT FD SICAV| Quantity: 10,800.00",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858055 | 7.21% JB JPY DCI VS USD-112.5 | Interest rate: 7.210000% | Nominal amount: 300,000,000.00 | Maturity: 01.12.2017",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858039 | 7.54% JB JPY DCI VS USD-112.5 | Interest rate: 7.540000% | Nominal amount: 400,000,000.00 | Maturity: 01.12.2017",Sale
ADVANCE OPENING Contract nr.: 402 - 0825739 | Interest rate: 0.810000% | Maturity: 08.12.2017,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858055 | 7.21% JB JPY DCI VS USD-112.5 | Interest rate: 7.210000% | Nominal amount: 300,000,000.00 | Maturity: 01.12.2017",SpotFxOut
FOREX SPOT USD/JPY 111.4755,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0819293 | Interest rate: 0.810000% | Capital: 300,000,000.00 | Period: 17.11.2017 - 01.12.2017 | Days: 14.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0819293,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9858039 | 7.54% JB JPY DCI VS USD-112.5 | Interest rate: 7.540000% | Nominal amount: 400,000,000.00 | Maturity: 01.12.2017",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856523 | 5.6% JB JPY DCI VS USD-113.3 | Interest rate: 5.600000% | Nominal amount: 500,000,000.00 | Maturity: 30.11.2017",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856523 | 5.6% JB JPY DCI VS USD-113.3 | Interest rate: 5.600000% | Nominal amount: 500,000,000.00 | Maturity: 30.11.2017",SpotFxOut
ADVANCE OPENING Contract nr.: 402 - 0823859 | Interest rate: 0.810000% | Maturity: 06.12.2017,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0823625 | Interest rate: 0.810000% | Maturity: 05.12.2017,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0814170 | Interest rate: 0.810000% | Capital: 300,000,000.00 | Period: 08.11.2017 - 29.11.2017 | Days: 21.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856352 | 5.19% JB JPY DCI VS USD-113.7 | Interest rate: 5.190000% | Nominal amount: 300,000,000.00 | Maturity: 29.11.2017",SpotFxOut
ADVANCE OPENING Contract nr.: 402 - 0823632 | Interest rate: 0.810000% | Maturity: 05.12.2017,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9856352 | 5.19% JB JPY DCI VS USD-113.7 | Interest rate: 5.190000% | Nominal amount: 300,000,000.00 | Maturity: 29.11.2017",Sale
FOREX SPOT USD/JPY 111.3144,SpotFxIn
ADVANCE REFUND Contract nr.: 402 - 0814170,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857240 | 6.96% JB JPY DCI VS USD-112.7 | Interest rate: 6.960000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857240 | 6.96% JB JPY DCI VS USD-112.7 | Interest rate: 6.960000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",Sale
FOREX SPOT USD/JPY 111.4413,SpotFxIn
FOREX SPOT USD/JPY 111.4413,SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857242 | 8.57% JB JPY DCI VS USD-112.95 | Interest rate: 8.570000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9857242 | 8.57% JB JPY DCI VS USD-112.95 | Interest rate: 8.570000% | Nominal amount: 500,000,000.00 | Maturity: 28.11.2017",SpotFxOut
"ADVANCE INTEREST Contract nr.: 402 - 0816761 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 14.11.2017 - 28.11.2017 | Days: 14.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0816527 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 14.11.2017 - 28.11.2017 | Days: 14.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0816761,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0816527,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855664 | 6.15% JB JPY DCI VS USD-113 | Interest rate: 6.150000% | Nominal amount: 500,000,000.00 | Maturity: 27.11.2017",SpotFxOut
"ADVANCE INTEREST Contract nr.: 402 - 0812755 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 06.11.2017 - 27.11.2017 | Days: 21.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855664 | 6.15% JB JPY DCI VS USD-113 | Interest rate: 6.150000% | Nominal amount: 500,000,000.00 | Maturity: 27.11.2017",Sale
FOREX SPOT USD/JPY 112.0661,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0821974 | Interest rate: 0.810000% | Maturity: 15.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0812755,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855416 | 4.68% JB JPY DCI VS USD-111.9 | Interest rate: 4.680000% | Nominal amount: 1,000,000,000.00 | Maturity: 24.11.2017",Sale
"PURCHASE STRUCTURED PRODUCTS Security nr. 9859049 | 6.4% JB JPY DCI VS USD-111.75 | Interest rate: 6.400000% | Nominal amount: 1,000,000,000.00 | Maturity: 14.12.2017",Purchase
CAP/4.68% JB JPY DCI VS USD-111.9,SpotFxIn
ADVANCE OPENING Contract nr.: 402-0819653|Interest rate :0.810000% | Maturity:21.12.2017,LoanCreate
"PURCHASE STRUCTURED PRODUCTS Security nr.9858642 /8.95% JB JPY DCI VS USD-112| Interest rate: 8.950000%/Nominal amount:400,000,000.00|Maturity:05.12.2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr.9858628 /7.29% JB JPY DCI VS USD-111.75| Interest rate: 7.29000%/Nominal amount:300,000,000.00|Maturity:21.12.2017",Purchase
ADVANCE OPENING Contract nr.: 402 - 0819725 | Interest rate: 0.810000% | Maturity: 05.12.2017,LoanCreate
ADVANCE REFUND Contract nr.: 402-0813389,LoanRepay
FOREX SPOT USD/JPY 113.1170,SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855900 | 9.49% JB JPY DCI VS USD-113.3 | Interest rate: 9.490000% | Nominal amount: 200,000,000.00 | Maturity: 20.11.2017",SpotFxOut
FOREX SPOT USD/JPY 113.0390,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr.9858369 /8.12% JB JPY DCI VS USD-112.5| Interest rate: 8.120000%/Nominal amount:500,000,000|Maturity:20.12.2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855900 | 9.49% JB JPY DCI VS USD-113.3 | Interest rate: 9.490000% | Nominal amount: 200,000,000.00 | Maturity: 20.11.2017",Sale
FOREX SPOT USD/JPY 113.2350,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402-0813389 | Interest rate: 0.810000% | Capital:200,000,000.00 | Period: 07.11.2017-20.11.2017| Days: 13.00/360.00",LoanCost
FOREX SPOT USD/JPY 113.1780,SpotFxIn
ADVANCE OPENING Contract nr.: 402-0819301|Interest rate :0.810000% | Maturity:20.12.2017,LoanCreate
ADVANCE OPENING Contract nr.: 402-0819293|Interest rate :0.810000% | Maturity:01/12/2017,LoanCreate
"PURCHASE STRUCTURED PRODUCTS Security nr.9858039 /7.54% JB JPY DCI VS USD-112.5| Interest rate: 7.5400%/Nominal amount:400,000,000|Maturity:1/12/2017",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr.9858055 /7.21% JB JPY DCI VS USD-112.5| Interest rate: 7.21000%/Nominal amount:300,000,000|Maturity:1/12/2017",Purchase
CAP/interest 6.13% JB JPY DCI VS USD-112.1500,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr.9857773 /5.20% JB JPY DCI VS USD-112.8| Interest rate: 5.20000%/Nominal amount:400,000,000|Maturity:07/12/2017",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9855417 | 6.13% JB JPY DCI VS USD-112.1500 | Interest rate:6.1300%|Nominal amount:1,300,000,000|Maturity:16/11/2017",Sale
"ADVANCE INTEREST Contract nr.: 402-0812437| Interest rate: 0.810000% | Capital:1,300,000,000 | Period: 2/11/2017 - 16/11/2017 | Days: 14 / 360",LoanCost
CAP/interest 7.03% JB JPY DCI VS USD-112.700,SpotFxIn
ADVANCE REFUND Contract nr.: 402-0812437,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9854156 | 7.03% JB JPY DCI VS USD-112.7000 | Interest rate:7.03000%|Nominal amount:800,000,000|Maturity:16/11/2017",Sale
