AO3597850 Parkway Pantai Ltd 4.25% (Call: 27.07.2022),,"400,000.00","3,022.22",0.00,"4,438.89","1,416.67",0.00,0.00,"0.00 (2,240.00)"
AQ6873634 Petron Corp 4.6% (Call: 19.07.2023),,"500,000.00","4,600.00",0.00,"6,516.67","1,916.67",0.00,0.00,"0.00 (7,350.00)"
AP1366677 Postal Savings Bk China Co Ltd 4.5% (Call:,,"200,000.00","4,600.00",0.00,"5,350.00",750.00,38.94,0.00,38.94 261.06
27.09.2022),,,,,,,,,
Report Source : Reporting Services,,,,Page 28,,,,,Print Time: 05/05/2018 2:31:04 PM
Stock Code,Description,Units,Prior,Income,Ending,Total,Accretion of,Amortization of,Net Accretion /,Unrealised
"",,,Accrued,Received,Accrued,Interest,Discount,Premium,Amortization,Gain / Loss
FIXED INCOME,,,,,,,,,,
AP7037652,Press Metal Labuan Ltd 4.8% (Call: 30.10.2020),"200,000.00","4,026.67","4,800.00",26.67,800.00,197.14,0.00,197.14,"(1,577.14)"
EK3299188,PTT Exploration & Production 4.875% (Call:,"1,000,000.00","13,947.90",0.00,"18,010.40","4,062.50",0.00,596.13,(596.13),496.13
"",18.06.2019),,,,,,,,,
QJ2237015,QIB Sukuk Ltd 2.754% (27.10.2020),"400,000.00","4,712.40","5,508.00",122.40,918.00,208.45,0.00,208.45,111.53
AN2611142,Saka Energi Indonesia PT 4.45% (05.05.2024),"650,000.00","7,218.88","(5,006.25)","14,141.11","1,915.98",56.56,41.81,14.75,"(9,492.25)"
AQ0758146,Shenzhen International Holding 3.95% (Call:,"400,000.00","5,354.44",0.00,"6,671.12","1,316.68",15.67,0.00,15.67,"(6,935.67)"
"",29.11.2022),,,,,,,,,
EJ6043818,SmarTone Finance Ltd 3.875% (08.04.2023),"600,000.00","7,448.62","7,793.06","1,485.42","1,829.86",15.43,61.70,(46.27),"(6,293.73)"
AN6294184,Sun Hung Kai Properties Cap Mk 4.45% (Call:,"350,000.00","5,537.78",0.00,"6,835.69","1,297.91",0.00,0.00,0.00,"(12,775.00)"
"",23.05.2020),,,,,,,,,
AL6742863,Tewoo Group Finance No 2 Ltd 4.5% (16.12.2019),"200,000.00","2,625.00",0.00,"3,375.00",750.00,0.00,35.16,(35.16),(784.84)
AN0866912,Tewoo Group Finance No 3 Ltd 5.5% (06.04.2022),"200,000.00","5,347.22","5,500.00",763.89,916.67,0.00,157.05,(157.05),"(1,822.95)"
AP5359645,United Overseas Bank Ltd 3.875% (Call: 19.10.2023),"600,000.00","6,975.00","7,771.53",774.99,"1,571.52",136.81,0.00,136.81,"(5,276.81)"
AO9861714,Weichai Int HK Energy Grp Co 3.75% (Call:,"450,000.00",796.88,0.00,"2,203.13","1,406.25",44.69,0.00,44.69,(809.69)
"",14.09.2022),,,,,,,,,
UV8797580,Weichai Int HK Energy Grp Co 4.125% (30.09.2020),"200,000.00",0.00,(435.42),710.42,275.00,0.00,20.76,(20.76),(607.24)
EJ4121962,Wing Lung Bank Ltd 4.793% (Call: 07.05.2018),"1,250,000.00","17,500.00",0.00,"21,145.83","3,645.83",0.00,849.00,(849.00),(276.00)
QZ6247188,Woori Bank Co Ltd 4.5% (Call: 27.09.2021),"700,000.00",200.00,(337.50),"2,975.00","2,437.50",98.77,0.00,98.77,"(5,653.77)"
AM1710293,Yanlord Land HK Co Ltd  5.875% (Call: 23.1.2020),"500,000.00","5,548.61",0.00,"7,996.53","2,447.92",0.00,24.05,(24.05),"(1,675.95)"
UV9163949,Yinson TMC Sdn Bhd 7.00% (Call: 25.09.2020),"1,000,000.00","1,166.67",0.00,"7,000.00","5,833.33",0.00,81.85,(81.85),81.85
TOTAL FIXED INCOME,,"18,700,000.00","208,833.15","58,020.01","219,836.60","69,023.46","1,305.21","6,624.26","(5,319.05)","(141,121.96)"
